127.0.0.1 - - [24/Apr/2024:10:14:35 +0800] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:14:41 +0800] "GET /EComtracWeb/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:14:41 +0800] "GET /EComtracWeb/;jsessionid=8BB10BE5005EFDD1345B4D5BA5AF22B2?0 HTTP/1.1" 200 16579
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:14:41 +0800] "GET /EComtracWeb/wicket/resource/org.apache.wicket.ajax.AbstractDefaultAjaxBehavior/res/js/wicket-event-jquery-ver-1713924417886.js HTTP/1.1" 200 5666
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:14:41 +0800] "GET /EComtracWeb/wicket/resource/org.apache.wicket.resource.JQueryResourceReference/jquery/jquery-ver-1713924409948.js HTTP/1.1" 200 266882
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:14:41 +0800] "GET /lib/w3.css HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:14:41 +0800] "GET /EComtracWeb/wicket/resource/org.apache.wicket.ajax.AbstractDefaultAjaxBehavior/res/js/wicket-ajax-jquery-ver-1713924417857.js HTTP/1.1" 200 75479
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:14:41 +0800] "GET /EComtracWeb/wicket/resource/org.apache.wicket.ajax.AbstractDefaultAjaxBehavior/res/js/wicket-ajax-jquery-debug-ver-1713924417874.js HTTP/1.1" 200 8866
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:14:41 +0800] "GET /EComtracWeb/jquery-ticker/css/main.css HTTP/1.1" 200 11360
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:14:41 +0800] "GET /EComtracWeb/jquery/jquery-ui.css HTTP/1.1" 200 32046
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:14:41 +0800] "GET /EComtracWeb/js/ssmScript.js?version=15 HTTP/1.1" 200 3757
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:14:41 +0800] "GET /EComtracWeb/css/styles.css HTTP/1.1" 200 18822
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:14:41 +0800] "GET /EComtracWeb/jquery-ticker/css/font-awesome.min.css HTTP/1.1" 200 18079
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:14:41 +0800] "GET /EComtracWeb/semantic/semantic.min.css HTTP/1.1" 200 628512
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:14:41 +0800] "GET /EComtracWeb/js/jquery.browser.min.js HTTP/1.1" 200 2595
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:14:41 +0800] "GET /EComtracWeb/jquery/jquery-1.9.1.js HTTP/1.1" 200 268382
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:14:41 +0800] "GET /EComtracWeb/js/jquery.jfeed.pack.js HTTP/1.1" 200 2096
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:14:41 +0800] "GET /EComtracWeb/semantic/components/form.js HTTP/1.1" 200 52054
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:14:41 +0800] "GET /EComtracWeb/jquery-ticker/js/jquery.newsTicker.js HTTP/1.1" 200 12773
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:14:41 +0800] "GET /EComtracWeb/semantic/semantic.min.js HTTP/1.1" 200 248048
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:14:41 +0800] "GET /EComtracWeb/jquery/jquery-ui.js HTTP/1.1" 200 435844
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:14:41 +0800] "GET /EComtracWeb/js/uvcharts.min.js HTTP/1.1" 200 76011
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:14:41 +0800] "GET /EComtracWeb/images/menarassmbg.jpg HTTP/1.1" 200 221014
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:14:41 +0800] "GET /EComtracWeb/images/ssm.png HTTP/1.1" 200 39939
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:14:41 +0800] "GET /EComtracWeb/js/d3.v3.min.js HTTP/1.1" 200 142904
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:14:41 +0800] "GET /EComtracWeb/images/ecom.png HTTP/1.1" 200 70791
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:14:41 +0800] "GET /EComtracWeb/;jsessionid=8BB10BE5005EFDD1345B4D5BA5AF22B2?0-IResourceListener-bannerImage&antiCache=1713924880407 HTTP/1.1" 200 100
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:14:41 +0800] "GET /EComtracWeb/;jsessionid=8BB10BE5005EFDD1345B4D5BA5AF22B2?0-IResourceListener-loginPanel-signInForm-captchaImage&antiCache=1713924880413 HTTP/1.1" 200 8835
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:14:41 +0800] "GET /EComtracWeb/images/cloud_one.png HTTP/1.1" 200 195897
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:14:41 +0800] "GET /EComtracWeb/images/cloud_two.png HTTP/1.1" 200 212928
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:14:41 +0800] "GET /EComtracWeb/images/cloud_three.png HTTP/1.1" 200 286793
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:14:41 +0800] "GET /EComtracWeb/ssm-portal-feed.xml HTTP/1.1" 200 18298
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:14:41 +0800] "GET /EComtracWeb/jquery-ticker/fonts/fontawesome-webfont.woff?v=4.0.1 HTTP/1.1" 200 44476
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:14:41 +0800] "GET /EComtracWeb/semantic/themes/default/assets/fonts/brand-icons.woff2 HTTP/1.1" 200 54488
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:14:41 +0800] "GET /EComtracWeb/semantic/themes/default/assets/fonts/icons.woff2 HTTP/1.1" 200 40148
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:15:01 +0800] "POST /EComtracWeb/;jsessionid=8BB10BE5005EFDD1345B4D5BA5AF22B2?0-1.IFormSubmitListener-loginPanel-signInForm HTTP/1.1" 302 -
